datetime_utc,Conditions,Dew_point,fog,heatindex,humidity,pressure,rain,temp,thunder,visibility,wind_current, wind_direction,wind_speed
19961101-13:00,Smoke,11,0,,44,-9999,0,24,0,,0,North,
19961201-13:00,Smoke,4,0,,48,1016,0,15,0,1.8,0,North,0
19970101-13:00,Smoke,12,0,,77,1019,0,16,0,,0,North,
19970201-13:00,Smoke,10,0,,68,1011,0,16,0,0.9,0,North,0
19970301-13:00,Smoke,16,0,,57,1011,0,25,0,3,100,East,7.4
19970401-13:00,Haze,16,0,,57,1007,0,25,0,4,80,East,14.8
19970501-13:00,Haze,21,0,,88,1005,0,23,0,3.5,280,West,14.8
19970601-13:00,Haze,20,0,30.7,58,1005,0,29,0,5,220,SW,5.6
19970701-13:00,Partly Cloudy,24,0,44.3,47,995,0,37,0,6,280,West,9.3
19970801-13:00,Thunderstorms and Rain,26,0,,100,995,1,26,1,0.8,0,North,0
19970901-13:00,Haze,26,0,40.4,70,1002,0,32,0,4,300,WNW,3.7
19971001-13:00,Haze,18,0,28.8,54,1012,0,28,0,4,230,SW,5.6
19971101-13:00,Smoke,14,0,,57,1018,0,23,0,2,0,North,0
19971201-13:00,Smoke,13,0,,82,1021,0,16,0,1.8,0,North,0
19980101-13:00,Smoke,8,0,,77,1020,0,12,0,2,300,WNW,5.6
19980201-13:00,Smoke,13,0,,73,1018,0,18,0,1.2,270,West,3.7
19980301-13:00,Smoke,13,0,,82,1017,0,16,0,2.2,280,West,3.7
19980401-13:00,Haze,19,0,29.2,58,1013,0,28,0,4,90,East,11.1
19980501-13:00,Haze,15,0,33.6,32,1006,0,34,0,,0,North,
19980601-13:00,Haze,14,0,40.8,20,1001,0,41,0,5,350,North,7.4
19980701-13:00,Scattered Clouds,29,0,39.7,100,997,0,29,0,2.5,110,ESE,7.4
19980801-13:00,Haze,29,0,46.1,84,1000,0,32,0,3,90,East,13
19980901-13:00,Haze,25,0,40.6,63,1003,0,33,0,3,210,SSW,5.6
19981001-13:00,Haze,23,0,,83,1009,0,26,0,2,80,East,5.6
19981101-13:00,Smoke,15,0,,61,1014,0,23,0,1.2,0,North,0
19981201-13:00,Smoke,6,0,,52,1017,0,16,0,2,250,WSW,5.6
19990101-13:00,Shallow Fog,10,1,,77,1018,0,14,0,0.8,0,North,0
19990201-13:00,Smoke,4,0,,42,1016,0,17,0,2,0,North,0
19990301-13:00,Smoke,7,0,,40,1014,0,21,0,3.5,280,West,7.4
19990402-13:00,Smoke,10,0,,27,1007,0,31,0,2,0,North,0
19990501-13:00,Haze,8,0,,14,1000,0,41,0,,330,NNW,5.6
19990601-13:00,Haze,13,0,33.9,26,1002,0,35,0,3.5,80,East,5.6
19990701-13:00,Haze,18,0,38.4,32,996,0,37,0,4.5,250,WSW,9.3
19990801-13:00,Haze,19,0,35.7,41,999,0,34,0,4,150,SSE,9.3
19990901-13:00,Smoke,21,0,36,49,1002,0,33,0,2,120,ESE,18.5
19991001-13:00,Haze,24,0,35,70,1008,0,30,0,3,0,North,0
19991101-13:00,Smoke,14,0,27.1,45,1011,0,27,0,1.8,0,North,0
19991201-13:00,Smoke,10,0,,56,1017,0,19,0,1.5,0,North,0
20000101-13:00,Shallow Fog,13,1,,88,1017,0,15,0,0.4,0,North,0
20000201-13:00,Smoke,13,0,,73,1009,0,18,0,1.6,70,ENE,5.6
20000301-13:00,Haze,7,0,,52,1017,0,17,0,3.5,310,NW,7.4
20000401-13:00,Smoke,16,0,35.1,32,1004,0,35,0,2,250,WSW,7.4
20000501-13:00,Light Thunderstorms and Rain,18,0,,61,1004,1,26,1,1.5,290,WNW,33.3
20000601-13:00,Haze,23,0,31.2,74,1000,0,28,0,2.2,0,North,0
20000701-13:00,Haze,21,0,36,49,999,0,33,0,3,140,SE,9.3
20000801-13:00,Haze,23,0,37.8,55,998,0,33,0,3,240,WSW,11.1
20000901-13:00,Haze,25,0,39,66,998,0,32,0,4,280,West,11.1
20001001-13:00,Haze,21,0,33.7,55,1007,0,31,0,2.5,30,NNE,5.6
20001101-13:00,Smoke,17,0,27.7,54,1012,0,27,0,1.8,80,East,9.3
20001201-13:00,Smoke,1,0,,34,1016,0,17,0,2.8,280,West,5.6
20010101-13:00,Clear,9,0,,82,1012,0,12,0,2,20,NNE,5.6
20010201-13:00,Haze,3,0,,42,1013,0,16,0,3,300,WNW,13
20010301-13:00,Haze,3,0,,31,1018,0,21,0,3,290,WNW,14.8
20010401-13:00,Haze,15,0,27.3,48,1010,0,27,0,4.5,320,NW,16.7
20010501-13:00,Haze,15,0,30.6,38,1005,0,31,0,1.6,10,North,11.1
20010601-13:00,Haze,22,0,43,39,998,0,38,0,3.5,150,SSE,5.6
20010701-13:00,Haze,25,0,37.6,70,1000,0,31,0,3,230,SW,9.3
20010801-13:00,Haze,20,0,36.5,44,999,0,34,0,3.5,310,NW,18.5
20010901-13:00,Haze,23,0,37.8,55,1001,0,33,0,3.5,90,East,9.3
20011001-13:00,Haze,21,0,,78,1008,0,25,0,,0,North,
20011101-13:00,Smoke,14,0,29.4,37,1011,0,30,0,1.6,300,WNW,3.7
20011201-13:00,Smoke,7,0,,43,1014,0,20,0,2,0,North,0
20020101-13:00,Smoke,9,0,,67,1020,0,15,0,0.4,50,NE,5.6
20020201-13:00,Smoke,5,0,,42,1018,0,18,0,2,310,NW,7.4
20020301-13:00,Haze,12,0,,47,1010,0,24,0,3,90,East,11.1
20020401-13:00,Haze,17,0,30.3,45,1007,0,30,0,3.5,120,ESE,18.5
20020501-13:00,Scattered Clouds,16,0,35.1,32,1000,0,35,0,2.2,70,ENE,11.1
20020601-13:00,Haze,20,0,30.7,58,1002,0,29,0,3,120,ESE,11.1
20020701-13:00,Mostly Cloudy,23,0,41.8,47,995,0,36,0,2.5,50,NE,9.3
20020801-13:00,Smoke,26,0,44.6,59,999,0,35,0,3,30,NNE,7.4
20020901-13:00,Haze,25,0,39,66,1004,0,32,0,3.5,50,NE,11.1
20021001-13:00,Haze,15,0,30.6,38,1010,0,31,0,,0,North,0
20021101-13:00,Smoke,15,0,27.3,48,101,0,27,0,0.4,60,ENE,7.4
20021201-13:00,Smoke,6,0,,43,1014,0,19,0,1.8,0,North,0
20030101-13:00,Shallow Fog,11,1,,82,1019,0,14,0,0.8,310,NW,3.7
20030201-13:00,Partly Cloudy,13,0,,94,1021,0,14,0,1.4,100,East,9.3
20030301-13:00,Haze,14,0,,60,1008,0,22,0,,80,East,27.8
20030401-13:00,Haze,13,0,29.2,35,1006,0,30,0,3.5,310,NW,22.2
20030501-13:00,Widespread Dust,13,0,37.1,22,1000,0,38,0,3.5,110,ESE,18.5
20030601-13:00,Partly Cloudy,9,0,,14,1000,0,42,0,4,300,WNW,13
20030701-13:00,Haze,22,0,43,39,997,0,38,0,2.8,80,East,11.1
20030801-13:00,Haze,26,0,35.6,84,1001,0,29,0,2,0,North,0
20030901-13:00,Haze,26,0,41.8,66,1000,0,33,0,4,230,SW,11.1
20031001-13:00,Haze,12,0,30.7,29,1007,0,32,0,4,300,WNW,9.3
20031101-13:00,Smoke,11,0,,41,1012,0,25,0,2.5,0,North,0
20031201-13:00,Smoke,6,0,,45,1015,0,18,0,3,0,North,0
20040101-13:00,Mist,8,0,,82,1017,0,11,0,1.2,60,ENE,7.4
20040201-13:00,Haze,9,0,,82,1015,0,12,0,3,260,West,14.8
20040301-13:00,Haze,9,0,,36,1011,0,25,0,4,260,West,14.8
20040401-13:00,Haze,5,0,,15,1008,0,35,0,4.5,340,NNW,5.6
